Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
1990,3,,99,FrRnd,26,Athletics,Y,Chaon Garland (minors),RHP,,,,,,,,,,,,,4Yr,Haverford College in Pennsylvania (Haverford PA)
1990,4,,104,FrRnd,5,Phillies,Y,John Ingram (minors),LHP,,,,,,,,,,,,,JC,Los Angeles Harbor College (Wilmington CA)
1990,4,,105,FrRnd,6,White Sox,Y,James Baldwin (minors),RHP,9.2,266,44,0,0.091,0.25,266,79,74,5.01,1.46,2,HS,Pinecrest HS (Southern Pines NC)
1990,4,,108,FrRnd,9,Reds,Y,Mike Ferry (minors),RHP,,,,,,,,,,,,,4Yr,Auburn University (Auburn AL)
1990,4,,111,FrRnd,12,Yankees,Y,Kirt Ojala (minors),LHP,0.1,56,33,0,0.121,0.346,56,3,10,4.71,1.58,0,4Yr,University of Michigan (Ann Arbor MI)
1990,4,,113,FrRnd,14,Twins,N,Silvio Censale (minors),LHP,,,,,,,,,,,,,HS,Catholic HS (Paramus NJ)
1990,4,,115,FrRnd,16,Brewers,Y,Donnie Blair (minors),RHP,,,,,,,,,,,,,HS,Wabash HS (Wabash IN)
1990,4,,117,FrRnd,18,Rangers,Y,Mickey Henson (minors),RHP,,,,,,,,,,,,,HS,South Point HS (Belmont NC)
1990,4,,120,FrRnd,21,Padres,Y,Rusty Silcox (minors),RHP,,,,,,,,,,,,,4Yr,Arizona State University (Tempe AZ)
1990,4,,122,FrRnd,23,Giants,Y,Mike Myers (minors),LHP,8.5,883,2,0,0,0,883,25,24,4.29,1.44,14,4Yr,Iowa State University (Ames IA)
1990,4,,124,FrRnd,25,Cubs,Y,Sean Cheetham (minors),RHP,,,,,,,,,,,,,HS,Woodbridge HS (Woodbridge VA)
1990,4,,126,FrRnd,27,Royals,Y,Doug Harris (minors),RHP,,,,,,,,,,,,,4Yr,James Madison University (Harrisonburg VA)
1990,5,,130,FrRnd,3,Tigers,Y,Shannon Withem (minors),RHP,0,1,0,0,,,1,0,0,3,1.67,0,HS,Willow Run HS (Ypsilanti MI)
1990,5,,133,FrRnd,6,Pirates,Y,Glenn Coombs (minors),RHP,,,,,,,,,,,,,HS,Cypress Creek HS (Houston TX)
1990,5,,136,FrRnd,9,Indians,Y,Oscar Munoz (minors),RHP,-0.3,10,0,0,,,10,2,1,5.6,1.61,0,4Yr,University of Miami (Coral Gables FL)
1990,5,,139,FrRnd,12,Expos,Y,Rick Clelland (minors),RHP,,,,,,,,,,,,,HS,Buckeye North HS (Brilliant OH)
1990,5,,141,FrRnd,14,Cardinals,N,Jim Lewis (minors),RHP,,,,,,,,,,,,,JC,Florida College (Jacksonville FL)
1990,5,,148,FrRnd,21,Orioles,Y,Bobby Chouinard (minors),RHP,1.5,111,8,0,0.125,0.25,111,11,8,4.57,1.45,1,HS,Forest Grove HS (Forest Grove OR)
1990,5,,150,FrRnd,23,Blue Jays,Y,Scott Burrell (minors),RHP,,,,,,,,,,,,,4Yr,University of Connecticut (Storrs CT)
1990,5,,151,FrRnd,24,Cubs,Y,Tyson Godfrey (minors),RHP,,,,,,,,,,,,,HS,Aberdeen HS (Aberdeen WA)
